Gene name	Transcript length (including UTRs and CDS)
MIR4723	81
RF00019	112
RF02116	170
MIR6085	110
RNU6-1328P	106
RNU6-581P	105
MIR759	91
RF00019	102
RN7SL413P	297
RN7SL813P	283
MIR4295	85
MIR1307	149
AC171558.4	921
MIR181B1	110
RF00019	117
RNA5SP333	118
RF01210	104
RF00019	92
RN7SKP210	261
RF02220	104
RF00019	102
RN7SL583P	287
MIR1273D	86
RF00019	101
RF00072	119
RF02198	162
RF02275	77
RF00019	111
RNA5-8SP5	152
RNU6-287P	98
SNORD116-10	102
RNU2-22P	212
RF00019	96
RN7SL818P	259
RN7SKP129	299
ARHGAP11A	5157
ARHGAP11A	5898
ARHGAP11A	5279
RNVU1-1	164
RN7SKP36	312
RNU1-6P	144
RNA5SP490	136
RN7SL242P	297
RNU6-896P	107
AC011295.1	498
RN7SKP141	338
NLRP7	3421
NLRP7	3250
RF00003	149
AP006285.3	2175
RNU6-327P	127
RNU7-186P	63
RN7SL444P	300
RF00019	113
RF00564	130
RNU6-1137P	99
RNU6-353P	108
SNORD114-7	77
RNU4-22P	166
RF00019	95
RN7SL487P	344
RNU6-1102P	96
RF00493	70
RN7SKP205	307
RNU6-1242P	103
RNU5B-2P	113
RN7SL162P	292
SNORD115-22	82
RNU6-50P	103
RF02150	99
RNU6-319P	108
RF00003	164
RF02124	135
RF00019	96
RN7SL692P	288
SNORD14B	90
RNU6-12P	107
MIR548AZ	95
RNU6-1086P	100
RF02271	158
RN7SL121P	273
RF00019	112
MIR3926-1	73
SURF2	842
SURF2	676
SURF2	314
MIR4659B	73
RF00019	109
MIR5692C2	77
RF02174	131
RNU6-1211P	105
GSTT2B	1115
RF00402	127
RNA5SP450	102
RNA5-8SN2	153
SNORA80D	135
RF00012	216
RNU4ATAC7P	125
MIR425	87
RF00019	101
RF00156	135
RF00019	109
RF02246	87
RF00026	105
RN7SL359P	288
RNA5SP427	119
MIR4749	61
RF00012	214
RF00612	58
RN7SL93P	293
RF00019	102
RNU4ATAC5P	126
MIR3942	109
RN7SKP244	307
RN7SL870P	296
MIR203B	86
RNU6-1258P	111
RF00019	102
CRHR1	2664
CRHR1	2622
CRHR1	2577
CRHR1	2457
CRHR1	2491
CRHR1	2371
RNA5SP510	99
RF02109	84
RF00003	165
RF00019	110
RN7SL577P	303
RNU6-457P	107
AL117190.3	87
RF00019	111
RNA5SP158	102
RNU6-1071P	101
RNU7-74P	62
RNU6-494P	90
RNU6-1308P	103
TSEN34	2297
TSEN34	1915
TSEN34	2421
RF00019	113
RNA5SP261	106
RF02220	104
RNU1-133P	167
RF00019	107
RNA5SP276	94
RF00003	162
RNU6-47P	107
RN7SKP128	303
RNU6-1117P	104
RF00340	127
RF00017	282
RNU2-17P	190
RNU6-1197P	107
RNU6-338P	105
RN7SL672P	317
SNORD9	104
RPPH1	333
RF00573	108
RF00019	110
RNU6-641P	107
RF00398	94
MIR5680	84
SNORA16A	135
RNU7-8P	62
RNU6-337P	106
RF00066	63
RN7SL468P	294
MIR6134	109
RNU7-115P	55
RNU6-630P	106
RF01883	87
MIR6842	65
SNORD38A	70
MIR2278	96
RNU6-821P	107
RNA5SP493	91
RNU6-686P	107
RNU6-253P	105
RNA5SP218	109
RF00272	142
RNU6-177P	104
RNU4-73P	141
RN7SL447P	245
RNA5SP107	122
SNORA21	132
RN7SL607P	299
RN7SL328P	300
RNY1P5	115
RN7SL332P	254
RNU6-1111P	107
MIR371A	67
RNU6-92P	104
RF02218	68
RF01972	71
MIR3131	63
MIR1301	82
RN7SL138P	287
RF00275	71
RF00026	107
RNU6-1293P	107
MIR671	118
MIR3064	66
MIR6511A4	67
RF01518	90
MIR591	95
AC003070.6	132
RF00012	213
MIR4317	65
RF00072	81
RNU6-23P	107
RF02250	271
MIR758	88
RN7SL79P	290
RNU4-9P	139
RNU6-900P	102
MIR4641	66
RN7SL326P	296
RN7SL748P	311
MIR208B	77
RN7SL711P	299
MIR411	96
RF00016	90
SNORD3E	217
MIR548H1	102
RNU1-74P	171
MIR3166	92
RN7SL319P	221
SNORD71	86
MIR133A2	102
MIR5697	78
RNU6-978P	103
RNA5SP426	121
RNU6-120P	103
MIR548E	88
RF00019	98
RNU6-32P	107
MIR153-1	90
RNU6-363P	105
RNU6-918P	106
GPX6	219
RNU6-389P	105
MIR4302	60
MIR4678	74
MIR520D	87
RF00421	122
RNU6-596P	98
RNA5SP434	121
RNA5S17	119
RNU6-53P	106
RNA5SP260	111
AC003070.7	132
RF00019	99
MIR1537	61
RNU5A-6P	116
MIR6779	64
MIR761	59
SNORD18C	69
RNU6-271P	105
RN7SL19P	306
MIR4724	89
MIR137	102
RN7SKP122	296
RNU7-55P	62
RNU6-1031P	107
RF01182	85
MIR6511A2	67
RN7SKP31	278
RF00012	211
MIR5581	60
RN7SL416P	298
RNU6-25P	107
MIR484	79
RF00019	91
SNORD1B	84
RF00019	96
SNORA18	132
RN7SKP87	301
RNU6-664P	107
RF00003	148
RNU6-719P	104
SNORA74A	198
RNA5SP383	120
RF00017	283
RF00019	102
RF00157	71
RN7SL569P	288
RNU6-889P	103
RN7SL689P	297
RNU6-660P	109
RNU6-1072P	107
RNA5SP331	107
RF00017	273
RN7SL208P	296
MIR6500	86
RN7SL333P	297
RF02271	178
RNA5SP374	125
RF00019	102
RNA5SP144	116
RN7SL87P	288
RF00019	114
RNU6-322P	103
RF00017	278
RN7SL524P	300
RN7SL35P	292
SNORD114-20	72
RF00019	124
RNU6-1132P	107
RNU7-200P	62
RF00019	102
RNA5SP41	101
MIR890	77
RNU6-79P	107
RF00019	107
RNU6-1284P	100
MIR6849	69
SNORA12	147
RN7SKP53	315
SNORD116-27	92
RF02188	172
RF00134	89
SNORD17	237
RF00322	116
RN7SL72P	269
MIR6836	63
RF00156	134
RNU7-81P	64
RNA5SP153	76
RF00554	134
SNORA50B	135
MIR578	96
RF00017	289
RNU1-35P	153
GP6	2268
GP6	2210
RNU6-713P	107
RNU6-662P	104
MIR508	115
MIR4274	91
RF00425	132
RN7SKP9	299
RNU6-1192P	107
RNU2-40P	196
RF02089	79
RF00019	101
MIR223	110
RNU6-618P	112
RNU6-49P	107
MIR922	81
RF00019	95
RF00019	101
RF00263	83
RNU6-741P	107
MIR548AB	84
RNU6-262P	116
SNORD8	110
RN7SL411P	300
RNU6-744P	107
RNU7-10P	63
SNORD36B	74
RNU6-774P	107
RNU7-12P	62
MIR24-1	68
RNU6ATAC37P	131
RF00156	135
SNORD37	66
MIR7112	65
RNU4-55P	137
RF02220	104
MIR5702	84
RNU6-1278P	107
MIR548AJ1	72
MIR5696	85
RF00019	105
RF00012	216
RF02090	201
MIR516B2	85
MIR7159	66
RF00285	76
RF00019	117
MIR5088	79
MIR1298	112
MIR105-2	81
MIR505	84
MIR3618	88
MIR3937	106
RF00003	146
RF00322	108
MIR4265	99
RNU6-1131P	107
MIR4315-2	73
MIR601	79
RN7SL665P	300
MIR513A2	127
MIR4657	53
MIR1302-11	138
RF00026	107
RNA5SP159	103
MIR6851	67
MIR892A	75
RNU1-96P	162
MIR548N	75
MIR7854	65
MIR187	109
RN7SKP208	361
MIR3186	85
MIR6771	60
SCARNA4	128
MIR4285	85
RNU6-712P	100
RNA5SP481	122
MIR449A	91
MIR3168	82
SNORD105B	79
MIR548H4	111
MIR3913-2	100
RN7SKP85	318
MIR6131	109
RNY1P10	113
RNU6-312P	107
RNA5SP285	119
SNORD68	84
MIR5091	93
MIR569	96
MIR6511B2	71
RNU1-84P	164
MIR3688-2	87
MIR5691	68
RNVU1-3	161
MIR5739	80
RNU6-131P	107
SNORD114-10	72
MIR623	98
MIR4798	75
RNA5SP346	121
MIR210	110
AC012314.25	1205
RF02148	140
AC012314.37	711
AC012314.37	476
RNU4-72P	173
MIR570	97
MIR200C	68
RNU1-97P	164
RN7SL309P	286
RF00017	305
MIRLET7E	79
MIR4758	71
MIR483	76
MIR4682	80
RNU6-449P	107
RNU6-737P	107
MIR1231	92
RNU6-1317P	104
MIR6890	61
RNA5SP489	109
MIR4524A	69
RN7SL833P	284
RNU7-151P	53
MIR196A1	70
RNA5SP170	101
MIR1285-2	88
RNU6-701P	107
RN7SL225P	298
MIR8065	100
SNORD114-26	72
AC137499.2	1338
RNU6-1304P	106
MIR4262	54
RNU6-1149P	97
MIR3670-1	65
RF00017	252
MIR4508	70
RF00019	134
RNU6-759P	103
MIR543	78
RN7SKP117	264
MIR518A1	85
RNU6-269P	97
RN7SL172P	303
RF00410	135
RF00280	77
RNA5SP336	117
RF00019	92
MIR320C2	50
RF00017	283
MIR4693	75
MIR1297	77
RN7SL273P	299
RF00152	84
RF00601	138
RF00019	102
MIR4482	70
MIR6761	72
RF00402	124
RNA5SP318	92
MIR548C	97
RNU6-613P	108
SNORA48B	135
SNORA38	132
RNU6-391P	104
SNORA38	132
MIR4671	73
SNORD115-30	82
RF00026	107
RF00019	102
RF00019	102
RN7SL681P	292
MIR202	110
RNA5SP522	116
RF00019	113
RF00019	103
RNU6-1128P	109
MIR4423	80
RNU6-1190P	104
RNU1-7P	164
RF00066	62
RNA5SP76	87
RF00324	86
SNORD50B	70
RNU6-397P	104
RF00019	102
RNU6-1275P	107
RN7SL18P	291
RNA5SP133	119
RF00026	106
RF00019	109
RNA5SP309	106
RNU6-750P	107
MIR6745	127
MIR6833	61
RF00019	102
RF00017	251
RNU6-763P	106
MIR4484	83
RF00284	73
MIR6083	106
RNU6-1050P	107
RNU11-2P	142
RNU6-986P	102
MIR1324	96
AC012314.30	2269
AC012314.30	2183
RN7SL630P	297
MIR1976	52
RN7SL107P	283
SNORD28B	75
RF00017	297
MIR6808	59
SNORA67	137
RF00096	134
MIR548AD	82
RNU6-484P	107
RNU6-201P	61
RNU6-657P	107
AC011043.2	1468
VSTM1	1015
VSTM1	922
VSTM1	575
VSTM1	654
VSTM1	608
MIR6792	67
RF00017	288
RNU2-18P	162
RN7SL615P	298
RNU6-663P	106
RNU6-478P	110
MIR3935	104
MT-TF	71
MT-RNR1	954
MT-TV	69
MT-RNR2	1559
MT-TL1	75
MT-ND1	956
MT-TI	69
MT-TQ	72
MT-TM	68
MT-ND2	1042
MT-TW	68
MT-TA	69
MT-TN	73
MT-TC	66
MT-TY	66
MT-CO1	1542
MT-TS1	69
MT-TD	68
MT-CO2	684
MT-TK	70
SNORA64	134
MIR3609	80
RNA5SP443	132
MT-ATP8	207
RF00273	68
RNU6-729P	107
MT-ATP6	681
MIR3680-1	87
RN7SL795P	282
RF02271	156
MT-CO3	784
RN7SKP135	247
MT-TG	68
MT-ND3	346
MT-TR	65
MT-ND4L	297
MIR7853	132
RNA5SP187	119
MIR145	88
MT-ND4	1378
MIR6820	62
RF02139	98
MT-TH	69
RDH13	1931
RNU2-66P	161
MT-TS2	59
MT-TL2	71
MIR3913-1	102
RF00599	112
MT-ND5	1812
RF02138	187
RN7SKP191	306
MT-ND6	525
RNA5SP341	117
MIR6069	79
MT-TE	69
RF00019	111
MT-CYB	1141
RNU1-140P	165
RNU6-917P	104
MT-TT	66
RNU6-1334P	105
MT-TP	68
MIR6716	80
RN7SKP1	307
RNA5SP280	115
RF00019	113
RNU4-63P	118
RF00019	96
RF00026	107
RF00019	105
MIR518F	87
RN7SL509P	297
RF00264	81
RF00017	276
RF00019	117
RF00012	204
RN7SL62P	297
RNU6-1296P	107
RNU6-1322P	107
MIR3529	78
RNU6-1320P	107
RF00012	215
RNU6-885P	104
RNU6-102P	104
MIR4306	91
RF00569	76
AC023491.2	2404
RN7SL260P	282
MIR6750	75
