Gene name	Transcript length (including UTRs and CDS)
ARHGAP11A	5157
ARHGAP11A	5898
ARHGAP11A	5279
AC011295.1	498
NLRP7	3421
NLRP7	3250
AP006285.3	2175
SURF2	842
SURF2	676
SURF2	314
GSTT2B	1115
CRHR1	2664
CRHR1	2622
CRHR1	2577
CRHR1	2457
CRHR1	2491
CRHR1	2371
TSEN34	2297
TSEN34	1915
TSEN34	2421
GPX6	219
GP6	2268
GP6	2210
AC012314.25	1205
AC012314.37	711
AC012314.37	476
AC012314.30	2269
AC012314.30	2183
AC011043.2	1468
VSTM1	1015
VSTM1	922
VSTM1	575
VSTM1	654
VSTM1	608
MT-ND1	956
MT-ND2	1042
MT-CO1	1542
MT-CO2	684
MT-ATP8	207
MT-ATP6	681
MT-CO3	784
MT-ND3	346
MT-ND4L	297
MT-ND4	1378
RDH13	1931
MT-ND5	1812
MT-ND6	525
MT-CYB	1141
AC023491.2	2404
AC012314.34	353
RPL7A	891
RPL7A	947
RPL7A	1164
RPL7A	1057
RPL7A	941
RPL7A	743
RPL7A	680
RPL7A	966
RPL7A	374
TJP1	7230
TJP1	6990
TJP1	6757
TJP1	1636
VARS2	4064
VARS2	3609
AC012314.18	353
MBOAT7	2598
MBOAT7	2471
MBOAT7	2392
OSCAR	2061
OSCAR	2049
OSCAR	2016
OSCAR	1547
OSCAR	1358
NLRP2	3542
NLRP2	3573
NLRP2	3507
NLRP2	3504
TSEN34	2297
TSEN34	1915
TSEN34	2421
AL662852.3	414
AC012314.33	2269
AC012314.33	2183
SURF6	4447
SURF6	935
FAM71E1	443
FAM71E1	1281
FAM71E1	653
FAM71E1	1225
FAM71E1	844
FAM71E1	576
MYBPC2	3593
MYBPC2	427
RCN3	1859
RCN3	549
RCN3	223
RCN3	607
RCN3	595
KIR3DL3	1604
ARFGEF3	14877
LACTB	1972
LACTB	2978
LACTB	552
LACTB	359
TRIAP1	1182
TRIAP1	1153
TRPV5	2952
TRPV5	2025
TRPV5	2120
OR2T10	3519
OR2T10	1049
OR2M4	5934
OR2M4	936
ZNF574	3309
ZNF574	3598
ZNF574	858
ZNF574	2940
RABGGTB	3863
RABGGTB	1496
RABGGTB	721
RABGGTB	788
RABGGTB	512
RABGGTB	1319
RABGGTB	569
RABGGTB	848
RABGGTB	2137
RABGGTB	961
RABGGTB	1702
RABGGTB	586
RABGGTB	468
RABGGTB	1177
PPOX	1686
PPOX	1740
PPOX	816
PPOX	963
PPOX	965
PPOX	816
PPOX	813
PPOX	2471
PPOX	904
PPOX	664
PPOX	1056
PPOX	473
PPOX	892
PPOX	1165
PPOX	514
PPOX	734
PPOX	1193
PPOX	728
PPOX	784
FKBP11	4957
FKBP11	517
FKBP11	630
FKBP11	1030
FKBP11	524
FKBP11	2661
FKBP11	725
FKBP11	1052
FKBP11	959
FKBP11	873
FKBP11	482
FKBP11	517
FKBP11	508
HDX	6200
HDX	6158
HDX	2924
HDX	1718
HDX	786
HDX	475
RND1	552
RND1	1681
RND1	2136
RND1	1989
RND1	482
RND1	793
LENEP	649
LENEP	555
SYCP2	5567
SYCP2	625
SYCP2	3341
SYCP2	580
SYCP2	729
SYCP2	579
SYCP2	584
SYCP2	488
